week,Contact ID,Silence duration (seconds),Class,Subclass
7,wk7_196564394141,188,Action,MIs
7,wk7_196564394141,182,Analysis,Photos
7,wk7_196564394141,198,Action,MIs
7,wk7_196625952097,150,Analysis,Team
7,wk7_196625952097,243,Question,Cable test
7,wk7_196625952097,207,Question,Hub+ wiring
7,wk7_196625952097,156,Request,Photos
7,wk7_196626081008,267,Analysis,Team
7,wk7_196626081008,172,Question,Pro Connect ver.
7,wk7_196626081008,155,Request,Screenshots
7,wk7_196626081008,193,Action,Charge phone
7,wk7_196626081008,498,Analysis,Team
8,wk8_196821506301,236,Request,Screenshots
8,wk8_196821506301,399,Action,Restart
8,wk8_196821506301,436,Question,RPO switch
8,wk8_196821506301,362,Request,Photos
8,wk8_196821506301,285,Question,MIO location
8,wk8_196867933873,126,Request,Restart
8,wk8_196867933873,333,Request,Screenshots
8,wk8_196867933873,122,Request,Cable test
8,wk8_196867933873,165,Complaint,Process
8,wk8_196867933873,344,Request,Photos
8,wk8_196715170715,144,Analysis,Team
8,wk8_196715170715,176,Question,LED lights
8,wk8_196715551871,150,Question,Pro Connect ver.
8,wk8_196715551871,193,Question,PTO status
8,wk8_196715551871,205,Question,Wi-Fi
8,wk8_196715551871,266,Analysis,Error
8,wk8_196715551871,213,Complaint,Process
9,wk9_197048675746,181,Action,Error
9,wk9_197048675746,225,Action,Error
9,wk9_197048675746,225,Request,Screenshots
9,wk9_197048675746,342,Request,Restart
9,wk9_197048675746,191,Question,Power status
9,wk9_197048675746,137,Action,Charge phone
9,wk9_197048675746,176,Analysis,MIDC Error
9,wk9_197212298037,263,Request,Photos
9,wk9_197212298037,138,Complaint,Process
9,wk9_197212298037,283,Request,Photos
9,wk9_197212298037,240,Request,Cable test
9,wk9_197212298037,127,Action,Email
9,wk9_197212298037,150,Request,Photos
9,wk9_197212298037,977,Admin,Case
9,wk9_197212298037,187,Request,Screenshots
9,wk9_197212298037,870,Action,Connecting to PVS6
9,wk9_197025898522,126,Complaint,Process
9,wk9_197048938090,246,Analysis,Photos
9,wk9_197048938090,157,Request,Photos
10,wk10_197342277387,158,Analysis,Team
10,wk10_197391322961,130,Question,LED lights
10,wk10_197391322961,138,Request,Screenshots
10,wk10_197392091955,161,Question,Last visit
10,wk10_197497314591,379,Request,Restart
10,wk10_197497314591,213,Request,Screenshots
11,wk11_197588662716,135,Request,Screenshots
11,wk11_197731731753,155,Action,Power status
11,wk11_197731731753,124,Request,Photos
13,wk13_198334698021,143,Question,LED lights
13,wk13_198452634852,228,Analysis,Photos
13,wk13_198452634852,189,Request,Screenshots
13,wk13_198453461021,238,Request,Photos
13,wk13_198453461021,740,Complaint,Process
14,wk14_198451997615,314,Analysis,Photos
14,wk14_198451997615,184,Request,Photos
14,wk14_198451997615,165,Analysis,Photos
14,wk14_198451997615,272,Request,Photos
14,wk14_198451997615,2612,Request,Screenshots
14,wk14_198472052286,139,Request,Restart
14,wk14_198472052286,128,Request,Photos
14,wk14_198472052286,217,Request,Photos
14,wk14_198472052286,231,Request,Screenshots
14,wk14_198580278943,394,Analysis,Batteries
14,wk14_198580278943,182,Question,LED lights
14,wk14_198516559526,382,Request,Photos
14,wk14_198516559526,387,Request,Photos
15,wk15_198693526648,271,Request,Restart
15,wk15_198693526648,214,Question,Power status
15,wk15_198693526648,132,Question,Spares
15,wk15_198693526648,271,Question,Power status
15,wk15_198693526648,426,Request,Screenshots
15,wk15_198693526648,351,Request,Screenshots
15,wk15_198693526648,135,Request,Photos
15,wk15_198694203965,429,Question,Spares
15,wk15_198822648244,148,Question,MIO location
15,wk15_198822648244,151,Request,Photos
15,wk15_198890654295,244,Request,Photos
15,wk15_198891103301,133,Request,Photos
15,wk15_198891103301,305,Request,Photos
15,wk15_198891103301,384,Question,Wi-Fi
15,wk15_198891103301,151,Analysis,Team
15,wk15_198891103301,153,Question,Consumption CTs
15,wk15_198891103301,1179,Action,Zoom
15,wk15_198891103301,230,Request,Photos
